date,video_id,views,revenue_usd,cpm_usd,country_top
2026-02-28,1,36,0.158,9.5515,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,4,38,0.1691,9.2894,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,6,150,0.7296,9.2152,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,7,30,0.1357,9.3982,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,8,15,0.0743,9.6417,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,9,44,0.1963,9.5346,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,10,56,0.2734,9.5961,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,12,40,0.2224,9.5039,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,13,43,0.2154,9.5835,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,15,28,0.1236,9.2701,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,17,39,0.0477,3.5967,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,18,29,0.0355,3.6544,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,19,47,0.0549,3.7208,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,20,49,0.053,3.3106,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,21,55,0.0604,3.2232,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,22,66,0.0799,3.7145,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,23,884,1.1242,3.6009,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,25,47,0.0551,3.5564,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,27,48,0.054,3.178,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,28,42,0.0467,3.6924,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,29,48,0.0593,3.5672,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,31,64,0.0747,3.5677,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,32,57,0.0645,3.6109,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,34,215,0.0739,0.5417,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,35,258,0.0914,0.5462,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,36,177,0.0572,0.5823,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,37,244,0.0828,0.5668,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,42,1163,0.3946,0.5185,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,43,219,0.0749,0.5692,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,45,17,0.0565,6.0122,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,47,25,0.0891,7.2186,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,48,31,0.116,6.9462,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,49,6,0.0102,3.475,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-02-28,50,18,0.0298,3.6232,"{""US"": 0.5308, ""IN"": 0.2028, ""BR"": 0.092, ""GB"": 0.097, ""DE"": 0.0773}"
2026-03-01,1,30,0.1434,8.9712,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,4,31,0.1548,9.4765,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,6,145,0.627,9.7342,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,7,19,0.0773,8.7131,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,8,26,0.1116,8.1789,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,9,28,0.134,9.0187,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,10,59,0.2647,9.4213,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,12,42,0.1862,8.5797,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,13,32,0.1521,9.0892,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,15,32,0.1489,8.7081,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,17,40,0.0488,3.2867,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,18,46,0.0526,3.5328,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,19,60,0.0598,3.4267,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,20,45,0.0488,3.33,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,21,47,0.0527,3.3843,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,22,46,0.0553,3.1542,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,23,621,0.6964,3.3709,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,25,52,0.0583,3.4053,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,27,50,0.0602,3.3307,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,28,48,0.0531,3.2781,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,29,71,0.0925,3.7872,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,31,47,0.0525,3.5885,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,32,45,0.0516,3.4205,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,34,226,0.0808,0.5882,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,35,190,0.0654,0.5594,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,36,236,0.0785,0.5668,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,37,159,0.0533,0.5476,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,42,729,0.2368,0.5327,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,43,191,0.0722,0.6099,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,45,35,0.1149,6.4607,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,47,35,0.117,6.6691,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
2026-03-01,48,35,0.1152,6.4389,"{""US"": 0.4752, ""IN"": 0.2042, ""BR"": 0.1093, ""GB"": 0.1092, ""DE"": 0.1021}"
