id,title,category,duration_sec,published_at
1,How to FastAPI in 2026,tutorial,1101,2025-07-05
2,How to data engineering in 2026,tutorial,665,2026-03-18
3,Beginner guide to system design,tutorial,654,2026-04-11
4,Complete PyTorch crash course,tutorial,1519,2025-06-30
5,Beginner guide to PyTorch,tutorial,1169,2026-05-25
6,SQL explained step by step,tutorial,1378,2026-02-07
7,machine learning explained step by step,tutorial,1540,2025-11-26
8,How to Kubernetes in 2026,other,1782,2025-11-16
9,How to React hooks in 2026,tutorial,1192,2025-06-02
10,How to TypeScript in 2026,tutorial,1528,2026-01-29
11,Rust explained step by step,tutorial,1146,2026-03-06
12,Beginner guide to system design,tutorial,1546,2025-07-21
13,Complete system design crash course,tutorial,714,2026-01-10
14,TypeScript explained step by step,tutorial,735,2026-05-12
15,AWS Lambda explained step by step,tutorial,1410,2025-08-11
16,Behind the scenes #16,vlog,874,2026-03-16
17,Q&A with the channel,vlog,524,2025-08-02
18,Q&A with the channel,vlog,412,2025-09-10
19,What I built this week,vlog,694,2025-07-11
20,Q&A with the channel,vlog,866,2025-07-27
21,My day vlog #21,vlog,414,2025-06-14
22,What I built this week,vlog,569,2025-10-18
23,Studio update 23,vlog,819,2026-02-26
24,Behind the scenes #24,vlog,300,2026-03-11
25,My day vlog #25,vlog,614,2025-09-20
26,What I built this week,vlog,797,2026-04-29
27,What I built this week,vlog,862,2025-08-29
28,Studio update 28,vlog,852,2026-01-13
29,Q&A with the channel,vlog,829,2025-12-20
30,What I built this week,vlog,646,2026-03-28
31,Studio update 31,vlog,307,2025-07-31
32,My day vlog #32,vlog,332,2025-05-31
33,Studio update 33,vlog,797,2026-04-22
34,Quick tip: Redis #shorts,shorts,55,2025-08-25
35,Quick tip: SQL #shorts,shorts,51,2025-11-01
36,PyTorch fact #shorts,shorts,57,2025-11-28
37,React hooks in 30 seconds #shorts,shorts,53,2025-06-18
38,Quick tip: AWS Lambda #shorts,shorts,47,2026-04-03
39,pandas fact #shorts,shorts,44,2026-03-18
40,SQL fact #shorts,shorts,50,2026-04-20
41,Quick tip: pandas #shorts,shorts,45,2026-04-11
42,React hooks fact #shorts,shorts,42,2026-02-08
43,Did you know? Postgres #shorts,other,43,2025-11-10
44,Is Kubernetes worth it?,review,539,2026-03-10
45,React hooks honest review,review,994,2025-12-19
46,Kafka honest review,review,670,2026-03-09
47,system design honest review,review,602,2025-07-28
48,Hands-on with React hooks,other,909,2025-08-05
49,Special announcement,other,422,2025-12-18
50,Channel update #50,other,461,2025-11-07
